,id,user name,score
0,3,西蒙,937.6
1,31347,辉熊M,747.0
2,28044,大力王,605.0
3,246825,白熊彼特,515.0
4,454917,leondeng,495.0
5,399740,羽田梓,421.0
6,453828,影法师上,368.0
7,295809,黄XX,313.0
8,287323,tomyppp ,312.0
9,56837,咖喱烤鱼,309.0
10,95329,Maverick,301.0
11,64282,GrantZN,297.0
12,27446,running t...,284.0
13,21327,Ryoma,280.44444444444446
14,404441,哈斯卡蘸酱,271.05555555555554
15,329645,wkm,271.0
16,313041,胖子的胖子,262.0
17,341521,有牙??,254.0
18,58861,这游戏包好玩么,251.5
19,278225,黒蜥蜴大人,248.0
20,417369,DarkEater,247.0
21,143751,鳄官长,237.0
22,49659,I_AM_P_UN...,235.0
23,455555,FinoFeng,229.0
24,321869,Easyzgoin...,225.5
25,210662,Shw,218.0
26,362921,三口劍,217.0
27,230355,batman118,210.0
28,24923,无限,210.0
29,27659,拉斯柯尔尼科夫,205.0
30,57517,月危月危,204.5
31,444664,DizzySalt,196.0
32,299294,時江,196.0
33,473170,芫爆,194.0
34,32431,阿兰醒不过来了,192.33333333333334
35,17162,文森特崔,192.0
36,186512,二猫,192.0
37,161530,秩序,191.0
38,424938,Mikedoe,186.0
39,161061,散装星空,183.0
40,105155,克总酷爱发糖,179.0
41,456780,身患威廉吉布森见登...,176.0
42,284397,pegaiur,173.0
43,363567,桑吉尔夫迷妹,172.0
44,227021,异术,167.0
45,320949,欧米茄子,166.0
46,191948,七星博士,166.0
47,288479,逐星,164.0
48,164989,平成废物少女,163.2
49,456681,Desein,163.0
50,84006,LCOOOOD,162.0
51,19883,Jesor,160.0
52,95423,hhah哈達門,156.4
53,480786,Unlimited...,156.0
54,108318,老斧子,154.0
55,142524,Eazz,153.0
56,260420,Medallion...,151.0
57,469880,chezai,150.0
58,330,THX,150.0
59,272345,小田仙人,148.0
60,24683,无头小仔,146.66666666666666
61,440344,XSOUL冶风,146.0
62,102461,brad,144.5
63,92590,nofun11,143.0
64,273719,鱼丝粥,141.14285714285714
65,270849,SwadiaLeo,141.0
66,251082,SpaceShee...,138.0
67,132468,山猫酱,137.0
68,300657,发糕同学,135.5
69,26217,奈落虎,133.0
70,19906,杭_FEVEF,131.0
71,133417,维杰斯瑞恩,130.5
72,404460,活着不好吗写什么剧...,129.0
