,label,times
0,游戏,2311
1,书影音,1322
2,生活,434
3,二次元,422
4,故事与设定\个人原创\文学与小说,303
5,设计与艺术,196
6,科技,185
7,模玩,175
8,历史,150
9,克苏鲁,142
10,桌游,112
11,轻奇幻,107
12,战锤40K,100
13,小说,98
14,科幻,78
15,瞬间思路,63
16,跑团,61
17,美术与设计\个人原创\漫画,59
18,赛博朋克,58
19,神话,51
20,人文社科\历史,49
21,机核铺,48
22,Spark 锦标赛,47
23,轻科幻,45
24,游戏摄影,43
25,TRPG,42
26,日本,37
27,其他创意领域\个人手工作品,37
28,SCP基金会 ,35
29,题材与风格\恐怖\克苏鲁,34
30,音乐,34
31,其他,33
32,SCP,31
33,人文社科\军事,30
34,PlayStation 5,29
35,游戏开发,29
36,人文社科\哲学,27
37,机动战士高达,27
38,军事,27
39,游戏设计,25
40,Xbox series X|S,23
41,meme,22
42,题材与风格\神话,22
43,漫画,21
44,Glive,21
45,美术与设计\个人原创\插画,20
46,Radiohead,20
47,腾讯游戏学院,20
48,科技与硬件,19
49,玩家,19
50,互联网,18
51,题材与风格\科幻,18
52,故事与设定\分析与见解\世界观,17
53,哪来的傻缺图,17
54,星球大战,17
55,科幻春晚,17
56,Spark,16
57,乐器,16
58,黑暗之魂,15
59,古埃及,15
60,二战,15
61,hottoys,14
62,太鼓达人,14
63,海豹十日谈,14
64,漫威,14
65,战锤,14
66,军武,14
67,旅行,14
68,PlayStation 4,13
69,信条,13
70,轻小说,13
71,中世纪,13
72,Xbox,12
73,机械教,12
74,彩虹六号,12
75,美食,12
76,独立游戏,12
77,波兰,12
78,建筑,12
79,乙女游戏,12
80,人工智能,11
81,龙与地下城,11
82,罗伯特·布洛克,11
83,怪谈,11
84,cosplay,11
85,电影,11
86,黑色封面,11
87,产业\产业史,10
88,字体设计,10
89,美术与设计\分析与见解\字体,10
90,坦克,10
91,傻【哔】太多，摇滚太少,10
92,奇幻,10
93,埃及神话,10
94,终生嗜好,10
95,异形,10
96,PS4榜单,10
97,宗教,10
98,最终幻想7,9
99,DNA工坊,9
100,美术与设计\分析与见解\风格,9
101,变形金刚,9
102,军事装备,9
103,哲学,9
104,毁灭战士,9
105,女性向游戏,9
106,汽车,8
107,DC,8
108,剧本,8
109,情感妙妙屋,8
110,生化危机,8
111,块魂,8
112,最后生还者,8
113,赛车,8
114, 电影,8
115,美术与设计\个人原创\人物,8
116,恐怖游戏,8
117,收藏,8
118,有声书,8
119,现代神话,8
120,美漫,8
121,赛车游戏,8
122,新世纪福音战士,8
123,鱼雷,8
124,精灵宝可梦,7
125,宝可梦,7
126,傻缺,7
127,真·女神转生,7
128,数码宝贝,7
129,日剧,7
130,PlayStation,7
131,黑暗世界,7
132,集异璧之大成,7
133,万智牌,7
134,轻之文库,7
135,AMD,7
136,埃及,7
137,故事,7
138,核市,7
139,CRPG BOOK翻译,7
140,哈利波特,7
141,酒,7
142,魔法少女,7
143,原创 ,6
144,人文社科\心理学,6
145,假面骑士,6
146,超级马力欧,6
147,COC跑团,6
148,克苏鲁的呼唤,6
149,COC,6
150,Fine Art,6
151,美术与设计\分析与见解\场景,6
152,摄影,6
153,手游,6
154,宝可梦卡牌,6
155,日本文学,6
156,希腊神话,6
157,布莱恩·拉姆利,6
158,译文,6
159,塔希里亚故事集,6
160,推理,6
161,海军,6
162,动物之森,6
