,0,1
0,145110,91206
1,145110,35209
2,319519,301193
3,319519,39462
4,319519,309589
5,319519,44525
6,319519,296955
7,319519,148093
8,319519,24687
9,319519,101018
10,319519,581583
11,319519,599155
12,319519,381756
13,319519,588746
14,319519,84602
15,319519,598747
16,319519,63818
17,319519,151396
18,319519,45723
19,319519,399216
20,319519,584183
21,319519,599250
22,319519,132659
23,319519,245406
24,319519,164703
25,319519,78226
26,319519,385293
27,319519,40563
28,319519,70262
29,319519,74278
30,319519,151753
31,319519,164582
32,319519,151558
33,319519,123457
34,319519,341504
35,319519,120242
36,319519,581494
37,319519,400528
38,319519,253953
39,319519,226085
40,319519,154570
41,319519,373700
42,319519,242144
43,319519,568758
44,319519,349697
45,319519,530360
46,319519,38948
47,319519,44755
48,319519,233065
49,319519,236234
50,319519,589655
51,319519,564313
52,319519,456741
53,319519,264409
54,319519,290589
55,319519,91206
56,319519,583222
57,319519,136173
58,319519,230324
59,319519,364856
60,319519,15368
61,319519,21635
62,319519,20803
63,319519,452584
64,319519,350296
65,319519,284289
66,319519,421632
67,319519,407914
68,319519,193413
69,319519,77521
70,319519,64497
71,319519,292587
72,319519,401674
73,319519,175892
74,319519,282182
75,319519,132242
76,319519,322177
77,319519,574511
78,319519,186094
79,319519,570043
80,319519,502788
81,319519,92194
82,319519,519272
83,319519,3
84,319519,310425
85,319519,303134
86,319519,462527
87,319519,134885
88,319519,464935
89,319519,15784
90,319519,217180
91,319519,77222
92,319519,96260
93,319519,93131
94,319519,215021
95,319519,143237
96,319519,63576
97,319519,31418
98,319519,345897
99,319519,28214
100,319519,385
101,319519,234983
102,15636,554075
103,15636,601451
104,15636,258670
105,15636,77521
106,15636,169974
107,15636,147840
108,135551,287752
109,135551,584257
110,135551,575007
111,135551,301995
112,135551,58185
113,135551,375669
114,135551,35481
115,135551,110072
116,135551,3
117,135551,414124
118,135551,226098
119,135551,226102
120,135551,23371
121,135551,397148
122,135551,49217
123,135551,145110
124,135551,109066
125,135551,97606
126,135551,204252
127,135551,306955
128,21635,61879
129,21635,295825
130,21635,62278
131,21635,131403
132,21635,600007
133,21635,12411
134,21635,523089
135,21635,159777
136,21635,117903
137,21635,511985
138,21635,293493
139,21635,596688
140,21635,569370
141,21635,97256
142,21635,113859
143,21635,251030
144,21635,590286
145,21635,230288
146,21635,351640
147,21635,525890
148,21635,58185
149,21635,149764
150,21635,76433
151,21635,281479
152,21635,129934
153,21635,196
154,21635,23190
155,21635,39220
156,21635,563841
157,21635,47819
158,21635,233065
159,21635,175892
160,21635,135554
161,21635,60793
162,21635,212167
163,21635,312520
164,21635,61547
165,21635,247119
166,21635,343595
167,21635,132048
168,21635,144895
169,21635,320661
170,21635,3171
171,21635,15412
172,21635,18412
173,21635,24683
174,21635,76562
175,21635,216510
176,21635,28214
177,21635,13599
178,21635,2724
179,21635,167403
180,21635,124832
181,21635,65651
182,21635,52977
183,21635,34524
184,21635,21327
185,21635,19879
186,21635,15355
187,21635,13701
188,21635,12865
189,21635,12977
190,21635,385
191,21635,44
192,21635,91206
193,21635,15784
194,21635,20803
195,21635,37146
196,21635,282535
197,21635,3
198,21635,365
199,21635,15368
200,21635,26217
201,21635,38476
202,21635,134885
203,21635,153104
204,21635,264409
205,27483,546575
206,27483,600997
207,27483,589655
208,27483,3
209,27483,570074
210,27483,175892
211,27483,233899
212,27483,282214
213,27483,28174
214,27483,17911
215,27483,252648
216,27483,188339
217,27483,234983
218,27483,15368
219,27483,17860
220,27483,39462
221,27483,18890
222,27483,357898
223,27483,333977
224,27483,396589
225,27483,354805
226,27483,145957
227,27483,91206
228,27483,258670
229,27483,145110
230,27483,256088
231,3171,235550
232,3171,166051
233,28214,341504
234,28214,113859
235,28214,251030
236,28214,12984
237,28214,34065
238,28214,12977
239,28214,167403
240,28214,2724
241,28214,497
242,28214,12865
243,28214,15355
244,28214,62278
245,28214,3171
246,28214,37146
247,28214,17876
248,28214,91206
249,28214,232392
250,28214,34524
251,28214,385
252,28214,175892
253,28214,3
254,28214,264409
255,28214,15368
256,28214,113201
257,28214,21635
258,28214,76562
259,28214,365
260,28214,76433
261,28214,326010
262,28214,21327
263,28214,134885
264,28214,15784
265,28214,20803
266,28214,142941
267,28214,2020
268,28214,13701
269,28214,124832
270,28214,24683
271,353840,131403
272,353840,3
273,353840,330970
274,353840,258670
275,404069,63576
276,404069,437001
277,15784,120242
278,15784,29691
279,15784,302894
280,15784,131403
281,15784,135554
282,15784,591877
283,15784,593954
284,15784,61879
285,15784,219060
286,15784,568758
287,15784,73428
288,15784,596864
289,15784,592633
290,15784,599620
291,15784,425999
292,15784,441223
293,15784,295054
294,15784,418519
295,15784,370084
296,15784,44247
297,15784,15332
298,15784,381050
299,15784,400034
300,15784,296955
301,15784,2020
302,15784,45723
303,15784,509995
304,15784,304643
305,15784,65651
306,15784,91206
307,15784,7
308,15784,282671
309,15784,215052
310,15784,251030
311,15784,113859
312,15784,14485
313,15784,230324
314,15784,206387
315,15784,4769
316,15784,382717
317,15784,159777
318,15784,15630
319,15784,233156
320,15784,68654
321,15784,345462
322,15784,49961
323,15784,584828
324,15784,39462
325,15784,476011
326,15784,440887
327,15784,351640
328,15784,15355
329,15784,563841
330,15784,378000
331,15784,143237
332,15784,24683
333,15784,567041
334,15784,42221
335,15784,164330
336,15784,196
337,15784,94756
338,15784,149764
339,15784,17876
340,15784,52977
341,15784,31418
342,15784,54963
343,15784,367059
344,15784,232392
345,15784,235093
346,15784,175892
347,15784,497
348,15784,39220
349,15784,270990
350,15784,482550
351,15784,233065
352,15784,44
353,15784,13599
354,15784,204873
355,15784,37146
356,15784,2724
357,15784,12984
358,15784,38476
359,15784,218697
360,15784,15758
361,15784,167403
362,15784,21498
363,15784,28214
364,15784,21327
365,15784,12977
366,15784,3171
367,15784,12865
368,15784,19879
369,15784,62278
370,15784,124832
371,15784,213695
372,15784,89652
373,15784,113201
374,15784,264409
375,15784,3
376,15784,15368
377,15784,21635
378,15784,76562
379,15784,245168
380,15784,34524
381,15784,134885
382,15784,20803
383,15784,76433
384,15784,13701
385,15784,365
386,15784,479078
387,133417,43432
388,133417,201442
389,133417,20803
390,133417,21635
391,133417,28214
392,133417,30572
393,133417,65651
394,133417,67187
395,303934,175892
396,299162,352837
397,299162,64308
398,299162,131403
399,299162,584828
400,299162,476691
401,299162,110999
402,299162,359498
403,299162,28214
404,299162,21635
405,299162,351874
406,299162,15784
407,299162,124832
408,299162,312017
409,299162,133165
410,299162,2724
411,299162,126008
412,299162,49217
413,299162,126927
414,299162,191953
415,299162,21466
416,299162,26737
417,299162,20803
418,299162,13701
419,299162,3
420,299162,21327
421,299162,76562
422,299162,385
423,299162,308419
424,299162,109066
425,264409,80250
426,264409,39462
427,264409,281363
428,264409,90578
429,264409,47819
430,264409,233899
431,264409,519272
432,264409,478077
433,264409,230324
434,264409,452584
435,264409,295115
436,264409,68654
437,264409,233065
438,264409,563841
439,264409,567041
440,264409,352843
441,264409,219060
442,264409,105429
443,264409,48373
444,264409,302894
445,264409,74176
446,264409,543887
447,264409,299446
448,264409,159777
449,264409,476011
450,264409,388025
451,264409,155098
452,264409,521313
453,264409,353794
454,264409,482550
455,264409,509995
456,264409,494746
457,264409,227976
458,264409,15362
459,264409,36274
460,264409,477793
461,264409,361981
462,264409,457113
463,264409,270910
464,264409,301995
465,264409,431509
466,264409,387502
467,264409,88711
468,264409,375669
469,264409,187068
470,264409,3171
471,264409,412707
472,264409,17350
473,264409,310425
474,264409,208871
475,264409,289284
476,264409,16296
477,264409,359498
478,264409,4769
479,264409,354241
480,264409,45077
481,264409,196
482,264409,131473
483,264409,247280
484,264409,47521
485,264409,186364
486,264409,272345
487,264409,202794
488,264409,134885
489,264409,76433
490,264409,308419
491,264409,12917
492,264409,77222
493,264409,19879
494,264409,113201
495,264409,18412
496,264409,3
497,264409,365
498,264409,12865
499,264409,12977
500,264409,13599
501,264409,13701
502,264409,15355
503,264409,15368
504,264409,15784
505,264409,20803
506,264409,21327
507,264409,21635
508,264409,24683
509,264409,26217
510,264409,31418
511,264409,34524
512,264409,35209
513,264409,37146
514,264409,38476
515,264409,43836
516,264409,55496
517,264409,62278
518,264409,65651
519,264409,91206
520,264409,124832
521,264409,143237
522,264409,167403
523,365,15784
524,365,159777
525,365,226085
526,365,233065
527,365,232392
528,365,20803
529,365,40931
530,365,3171
531,365,15335
532,365,28214
533,365,31418
534,365,65651
535,365,91206
536,365,257036
537,170129,37146
538,170129,401747
539,170129,144557
540,170129,435708
541,170129,55704
542,170129,479158
543,170129,141371
544,170129,77522
545,170129,21095
546,170129,237290
547,170129,146809
548,170129,21327
549,170129,20778
550,170129,20803
551,110902,3
552,110902,111451
553,110902,65651
554,110902,280630
555,34524,131403
556,34524,519400
557,34524,412076
558,34524,39462
559,34524,28214
560,34524,519272
561,34524,19879
562,34524,571388
563,34524,124832
564,34524,15784
565,34524,47819
566,34524,13599
567,34524,127708
568,34524,304184
569,34524,306849
570,34524,58043
571,34524,171046
572,34524,51012
573,34524,41743
574,34524,22556
575,34524,250797
576,34524,225897
577,34524,272978
578,34524,149930
579,34524,207125
580,34524,312370
581,34524,181893
582,34524,298951
583,34524,68654
584,34524,110048
585,34524,281679
586,34524,57241
587,34524,63927
588,34524,133303
589,34524,27550
590,34524,48083
591,34524,115580
592,34524,227691
593,34524,313768
594,34524,198123
595,34524,257102
596,34524,256425
597,34524,133210
598,34524,151237
599,34524,296955
600,34524,307911
601,34524,314184
602,34524,46414
603,34524,107998
604,34524,230300
605,34524,144953
606,34524,66018
607,34524,39305
608,34524,141641
609,34524,190441
610,34524,306660
611,34524,224455
612,34524,75417
613,34524,220571
614,34524,301393
615,34524,96830
616,34524,250712
617,34524,38424
618,34524,76562
619,34524,39929
620,34524,54797
621,34524,82695
622,34524,97583
623,34524,268834
624,34524,209129
625,34524,247280
626,34524,254164
627,34524,178996
628,34524,258865
629,34524,138170
630,34524,85162
631,34524,51008
632,34524,102427
633,34524,212855
634,34524,22580
635,34524,156272
636,34524,167456
637,34524,259430
638,34524,41578
639,34524,94688
640,34524,121005
641,34524,125089
642,34524,185677
643,34524,64148
644,34524,156274
645,34524,247266
646,34524,110814
647,34524,279823
648,34524,100940
649,34524,61047
650,34524,166459
651,34524,301091
652,34524,52309
653,34524,37149
654,34524,113397
655,34524,278880
656,34524,238592
657,34524,244102
658,34524,64366
659,34524,73428
660,34524,203301
661,34524,154216
662,34524,21635
663,34524,236835
664,34524,64017
665,34524,178895
666,34524,271932
667,34524,85597
668,34524,138534
669,34524,181784
670,34524,187639
671,34524,237279
672,34524,277983
673,34524,137356
674,34524,18412
675,34524,34034
676,34524,92378
677,34524,177435
678,34524,106170
679,34524,228303
680,34524,80576
681,34524,99481
682,34524,156870
683,34524,58108
684,34524,266714
685,34524,285096
686,34524,41099
687,34524,14307
688,34524,40859
689,34524,282281
690,34524,132468
691,34524,192885
692,34524,170438
693,34524,119650
694,34524,143413
695,34524,125886
696,34524,3
697,34524,44
698,34524,3171
699,34524,12142
700,34524,12977
701,34524,12984
702,34524,13365
703,34524,15149
704,34524,15355
705,34524,15368
706,34524,18890
707,34524,20816
708,34524,23168
709,34524,23905
710,34524,26217
711,34524,27439
712,34524,31482
713,34524,34065
714,34524,38991
715,34524,58580
