,id,user name,score
0,404441,哈斯卡蘸酱,4879
1,34524,yn27,4852
2,3,西蒙,4688
3,28214,大巴车司机,3931
4,62278,雪豆,3659
5,3171,日天嗷,3318
6,20803,四十二,2916
7,15784,小五_Klaus,2611
8,21327,Ryoma,2524
9,21635,白广大,2105
10,385,Hardy,2031
11,365,xzzzzb,1664
12,101171,未来事务管理局,1574
13,12865,NJBK,1523
14,65651,药荚s,1452
15,124832,河童Ann,1360
16,19396,巴甫洛夫的忌日,1358
17,399740,羽田梓,1263
18,76562,札幌Sapporo,1241
19,63576,瞬间思路,1193
20,398622,新昼,1095
21,309184,v翼,1083
22,97606,大白羊,1057
23,168326,杉果娘,1017
24,273719,鱼丝粥,988
25,57475,奔街命,985
26,352872,Tiberius,982
27,94873,ChristheC...,953
28,375669,沙丘研究所,880
29,310425,西米恩说,855
30,13701,Nadya,836
31,164989,平成废物少女,816
32,95423,hhah哈達門,782
33,143237,丑客,779
34,15335,叉小包,779
35,135036,酒后奇思,766
36,31347,辉熊M,747
37,339049,腾讯游戏学堂,745
38,12917,RED,707
39,23190,Beta-TNT,668
40,26217,奈落虎,665
41,290589,Kazuya,657
42,395297,纳尔西斯?考尔,650
43,126927,北冰洋橘子汽水丧狗...,625
44,401674,芒果冰OL,622
45,91206,Dagou,611
46,28044,大力王,605
47,462527,游信,604
48,172500,萨满海豹MK2,603
49,142941,諌谩,603
50,145957,渣教授,597
51,43700,Pheies,591
52,32431,阿兰醒不过来了,577
53,135551,阿兰的追随者,569
54,53306,Youand,566
55,37146,范克里夫大尉,566
56,384232,Facedays,561
57,77222,席路德,548
58,145110,Holy_Dark...,537
59,326010,熊吉吉,536
60,45077,chenzj,534
61,246825,白熊彼特,515
62,58861,这游戏包好玩么,503
63,312078,JoyCui,502
64,264409,开开开开,499
65,454917,leondeng,495
66,284289,钟二狗,494
67,67013,Kensnow,491
68,318089,一只古零,490
69,316769,RIverWayn...,489
70,365025,叔音OKATU,461
71,111451,懒小丁,456
72,345897,后浪,455
73,321869,Easyzgoin...,451
74,24683,无头小仔,440
75,258670,巧克力与坚果,431
76,253953,冯阳昆,416
77,57517,月危月危,409
78,354288,用户已注销,405
79,301995,暴君7200,394
80,146542,小林呱呱呱,392
81,273310,游戏动力,391
82,164456,shiraki,391
83,76433,bazingga二...,389
84,34444,有角幻也,389
85,320661,黑洞洞,388
86,280418,terryang2...,387
87,404069,乐博睿文化,384
88,273934,Jodoboy,380
89,453828,影法师上,368
90,80250,短路天兵_生,367
91,272596,轻之文库,359
92,77072,Turin,359
93,93131,歪鼻子七,354
94,439703,墨殷画沂,353
95,257187,DisJason,352
96,400344,废话多但可能对,344
97,126008,Huiyao117,342
98,306340,多唯度,338
99,457113,Monsterda...,334
100,395406,洪长清图图,332
101,456537,老冰辊,331
102,61547,龙草,325
103,70262,木鱼益生菌,321
104,83353,dogsama,318
105,215649,栗子頭,317
106,31477,kituu,315
107,295809,黄XX,313
108,287323,tomyppp ,312
109,247016,如山清,310
110,56837,咖喱烤鱼,309
111,227976,Ethan_Bla...,306
112,71489,Ethan_Bla...,305
113,15368,ARNwing,303
114,95329,Maverick,301
115,34586,CrapTears,300
116,154545,安琪不是姐姐,298
117,299446,篝火营地,298
118,64282,GrantZN,297
119,232392,肖尔AKA大鱼际,294
120,292587,阿波尼罗,292
121,102461,brad,289
122,386119,黑胶盒子,287
123,27446,running t...,284
124,252542,ALExZHAN1...,283
125,27483,饼干_,281
126,48877,幻蓝,281
127,329561,追梦人的影视杂谈,279
128,169974,艾洋,276
129,372906,我还想玩,275
130,119205,深空爱吃肉包儿,274
131,300657,发糕同学,271
132,329645,wkm,271
133,52575,Guqi,267
134,18412,玩不起命的打工仔,264
135,330970,猫老夜~☆,264
136,417203,【Колыбель...,262
137,313041,胖子的胖子,262
138,133417,维杰斯瑞恩,261
139,406897,用户已注销,261
140,67707,益达君,259
141,263192,二龙路Club,259
142,257036,YT17,258
143,341521,有牙??,254
144,282535,出笼,249
145,278225,黒蜥蜴大人,248
146,123878,薛伯陵,247
147,417369,DarkEater,247
148,50663,-RANGER-,246
149,48925,OwenNiu,245
150,88711,Giovanni,244
151,38249,晨风零雨,238
152,143751,鳄官长,237
153,71208,布鲁斯天行者,235
154,49659,I_AM_P_UN...,235
155,248522,水泊寺无业青年,234
156,392644,骑马射箭小秀酱,234
157,247119,OrioTysum...,233
158,376457,嘴馋又挑食,230
159,25223,YL,230
160,455555,FinoFeng,229
161,51428,LeafL,223
162,199401,路人甲的悲鸣,221
163,186364,猫翼子,218
164,210662,Shw,218
165,12977,昊崙,217
166,431509,Fabelei,217
167,362921,三口劍,217
168,246551,NinthDepp,213
169,149272,黑水镇的陌生人,212
170,28766,JACKNIGHT,212
171,361981,CyberGirl...,211
172,375526,公园老头乐,211
173,203229,土豆是玩具,210
174,172572,ss2302,210
175,230355,batman118,210
176,24923,无限,210
177,43836,兜帽诺,206
178,157480,木又寸_,206
179,27659,拉斯柯尔尼科夫,205
180,396589,夏川朝露,203
181,52173,410,201
182,388188,LaZyRui,200
183,440028,脱轨车间,200
184,48472,猫牧师,200
185,143266,玄玖爷,197
186,444664,DizzySalt,196
187,299294,時江,196
188,35209,蓟犁的疯狗,194
189,473170,芫爆,194
190,46935,杰洛特阿历克斯,193
191,16061,黑狗布雷特,192
192,27465,terrymc,192
193,17162,文森特崔,192
194,186512,二猫,192
195,87459,虚子(?ゝω??)...,191
196,161530,秩序,191
197,196,一冰,190
198,412228,A傻圆儿,189
199,41689,HUSH,187
200,424938,Mikedoe,186
201,379700,浩海,185
202,161061,散装星空,183
203,112534,呵呵帝HED,181
204,80169,无尽君,180
205,105155,克总酷爱发糖,179
206,389355,柯索提亚,176
207,20740,Typori,176
208,456780,身患威廉吉布森见登...,176
209,132166,再生妖精,175
210,37923,Hshiki,174
211,354805,白鬼业行,174
212,177027,Nostralgi...,173
213,284397,pegaiur,173
214,363567,桑吉尔夫迷妹,172
215,400576,壹然,171
216,233065,说书人J,170
217,106540,蘑菇派,169
218,59132,搓男太郎,169
219,137021,Kin33,169
220,273421,MDC啊,168
221,218143,Timechase...,167
222,227021,异术,167
223,320949,欧米茄子,166
224,191948,七星博士,166
225,288479,逐星,164
226,56081,TimeSwap,164
227,142178,狗策划,164
228,91084,刀刀daokoda...,164
229,456681,Desein,163
230,421287,Esdec,163
231,416287,默颜,162
232,84006,LCOOOOD,162
233,270571,科德瑞文之影,161
234,19883,Jesor,160
235,131504,蝈蝈的夏天,159
236,181331,南门汤包,159
237,166712,轮回Sunday,158
238,330425,nerd_hnd,157
239,464935,喝茶的浪客,156
240,480786,Unlimited...,156
241,17647,大大泡泡糖不愉快,155
242,238149,Breakcrow,154
243,258191,Hyperspac...,154
244,108318,老斧子,154
245,142524,Eazz,153
246,260420,Medallion...,151
247,469880,chezai,150
248,437119,同乐森LBDAmu...,150
249,330,THX,150
250,476669,三月琉璃夜,149
251,458444,DREAMFAIR...,148
252,272345,小田仙人,148
253,353508,蒸汽瓦特,148
254,417975,张图图,147
255,60793,邹邹0208,147
256,134578,故事里的事,147
257,88310,谢尔格拉,147
258,16551,真·诘sin,146
259,440344,XSOUL冶风,146
