,id,user name,score
0,28214,大巴车司机,7835
1,62278,雪豆,6750
2,3171,日天嗷,6207
3,404441,哈斯卡蘸酱,5863
4,20803,四十二,5752
5,21635,白广大,5523
6,34524,yn27,5467
7,375669,沙丘研究所,4470
8,398622,新昼,4200
9,101171,未来事务管理局,4071
10,15784,小五_Klaus,4056
11,143237,丑客,3965
12,395297,纳尔西斯?考尔,3858
13,65651,药荚s,3684
14,63576,瞬间思路,3515
15,3,西蒙,3259
16,385,Hardy,3081
17,91206,Dagou,2992
18,76562,札幌Sapporo,2951
19,77222,席路德,2737
20,19396,巴甫洛夫的忌日,2631
21,352872,Tiberius,2546
22,310425,西米恩说,2545
23,12865,NJBK,2504
24,135551,阿兰的追随者,2446
25,172500,萨满海豹MK2,2364
26,273719,鱼丝粥,2146
27,339049,腾讯游戏学堂,2100
28,145110,Holy_Dark...,2087
29,365,xzzzzb,1977
30,13701,Nadya,1902
31,247119,OrioTysum...,1898
32,37146,范克里夫大尉,1839
33,345897,后浪,1800
34,264409,开开开开,1779
35,124832,河童Ann,1779
36,97606,大白羊,1747
37,21327,Ryoma,1673
38,354288,用户已注销,1658
39,404069,乐博睿文化,1648
40,111451,懒小丁,1600
41,145957,渣教授,1557
42,284289,钟二狗,1552
43,37923,Hshiki,1519
44,94873,ChristheC...,1501
45,401674,芒果冰OL,1455
46,186364,猫翼子,1407
47,361981,CyberGirl...,1405
48,253953,冯阳昆,1321
49,169974,艾洋,1316
50,316769,RIverWayn...,1306
51,384232,Facedays,1293
52,258670,巧克力与坚果,1292
53,290589,Kazuya,1288
54,48877,幻蓝,1265
55,406897,用户已注销,1256
56,326010,熊吉吉,1251
57,83353,dogsama,1230
58,119205,深空爱吃肉包儿,1205
59,227976,Ethan_Bla...,1196
60,126927,北冰洋橘子汽水丧狗...,1160
61,168326,杉果娘,1145
62,309184,v翼,1131
63,57475,奔街命,1119
64,312078,JoyCui,1108
65,135036,酒后奇思,1107
66,164456,shiraki,1082
67,233065,说书人J,1073
68,386119,黑胶盒子,1056
69,389355,柯索提亚,1047
70,34586,CrapTears,1030
71,23190,Beta-TNT,1021
72,67707,益达君,1007
73,215649,栗子頭,1007
74,93131,歪鼻子七,991
75,365025,叔音OKATU,985
76,273310,游戏动力,967
77,400344,废话多但可能对,958
78,456537,老冰辊,927
79,272596,轻之文库,925
80,462527,游信,914
81,126008,Huiyao117,884
82,417203,【Колыбель...,847
83,26217,奈落虎,844
84,146542,小林呱呱呱,840
85,25223,YL,840
86,38249,晨风零雨,823
87,45077,chenzj,817
88,431509,Fabelei,807
89,301995,暴君7200,799
90,95423,hhah哈達門,788
91,329850,正艺青年,783
92,396589,夏川朝露,775
93,246551,NinthDepp,774
94,52173,410,774
95,15368,ARNwing,766
96,252542,ALExZHAN1...,762
97,416287,默颜,759
98,375526,公园老头乐,759
99,282535,出笼,758
100,12917,RED,752
101,404051,ST灰图书馆,746
102,142941,諌谩,742
103,329561,追梦人的影视杂谈,742
104,24683,无头小仔,736
105,471192,rct,723
106,464935,喝茶的浪客,694
107,299446,篝火营地,683
108,70262,木鱼益生菌,667
109,359498,+锁,665
110,474546,Xidealtsa...,662
111,149272,黑水镇的陌生人,654
112,31347,辉熊M,652
113,52575,Guqi,651
114,17647,大大泡泡糖不愉快,648
115,85281,Umbrellal...,631
116,372906,我还想玩,620
117,27483,饼干_,603
118,51428,LeafL,603
119,303934,Docurrooo...,602
120,35209,蓟犁的疯狗,600
121,61547,龙草,599
122,458629,RFON,594
123,318089,一只古零,583
124,218143,Timechase...,574
125,412228,A傻圆儿,568
126,280418,terryang2...,566
127,328839,一路狂奔的我,564
128,16061,黑狗布雷特,544
129,87365,HeartRoug...,542
130,292587,阿波尼罗,538
131,15335,叉小包,533
132,437119,同乐森LBDAmu...,530
133,439703,墨殷画沂,530
134,80250,短路天兵_生,528
135,17350,Spark-War...,524
136,351874,JackieMis...,524
137,67013,Kensnow,524
138,453828,影法师上,524
139,43700,Pheies,522
140,46935,杰洛特阿历克斯,522
141,277201,knee684,519
142,60793,邹邹0208,518
143,57517,月危月危,516
144,58861,这游戏包好玩么,510
145,432153,人则水州,495
146,88711,Giovanni,493
147,50663,-RANGER-,493
148,71489,Ethan_Bla...,490
149,29691,msk福贵,489
150,330970,猫老夜~☆,488
151,257036,YT17,487
152,76433,bazingga二...,482
153,164989,平成废物少女,479
154,199401,路人甲的悲鸣,478
155,106540,蘑菇派,476
156,211882,查查啦啦,475
157,223458,野兽先辈v君,473
158,126391,eaglet123,473
159,123878,薛伯陵,467
160,306340,多唯度,467
161,265382,次元书馆,466
162,157480,木又寸_,465
163,56081,TimeSwap,464
164,272345,小田仙人,458
165,294370,SSADY,454
166,263192,二龙路Club,453
167,232392,肖尔AKA大鱼际,452
168,57139,徐棂,452
169,84684,SunsideBe...,450
170,272058,打鐵兄弟蒼穹君,449
171,59132,搓男太郎,449
172,351763,FeeX,446
173,71208,布鲁斯天行者,445
174,20740,Typori,442
175,172572,ss2302,441
176,32431,阿兰醒不过来了,440
177,399740,羽田梓,439
178,197079,锈色,435
179,159777,8号复制人,432
180,88724,只恨今生已殆尽,424
181,363671,theArchit...,423
182,142178,狗策划,420
183,16551,真·诘sin,415
184,442673,清玖离芜，Rosy...,415
185,273421,MDC啊,413
186,312774,鳖某人,412
187,461521,大山猫,412
188,154545,安琪不是姐姐,402
189,77072,Turin,402
190,48925,OwenNiu,400
191,440541,甜点猫头鹰,398
192,34444,有角幻也,397
193,88310,谢尔格拉,393
194,48472,猫牧师,391
195,95329,Maverick,391
196,184587,一只硬核少年,383
197,27465,terrymc,381
198,53306,Youand,378
199,440028,脱轨车间,378
200,448317,卡卡琳艾,376
201,457113,Monsterda...,375
202,354805,白鬼业行,375
203,142524,Eazz,373
204,270571,科德瑞文之影,372
205,412675,Subkonsci...,372
206,70251,摇曳薄荷,366
207,222026,高熵碳基,365
208,330425,nerd_hnd,363
209,33970,Ouredfine...,361
210,269140,李显尘,357
211,449414,春山社_HARUY...,351
212,203229,土豆是玩具,347
213,18412,玩不起命的打工仔,347
214,435629,穿墙猫,347
215,395406,洪长清图图,346
216,207283,水绒草,345
217,444664,DizzySalt,344
218,37991,冰河洗剑,335
219,37681,水鬼,334
220,473170,芫爆,332
221,247016,如山清,331
222,55492,化而为鹏,330
223,139478,用户已注销,328
224,401550,熊泽鹏,326
225,363525,Arthasw,322
226,112534,呵呵帝HED,319
227,177027,Nostralgi...,317
228,117962,服务器播种者,316
229,167641,月之莹莹,316
230,196,一冰,314
231,417975,张图图,313
232,289370,船长和阿悠,309
233,133417,维杰斯瑞恩,308
234,217180,Molotok,305
235,91084,刀刀daokoda...,305
236,57677,马克熊猫,302
237,202197,传火老猎人,302
238,83750,秦巽,299
239,297894,Ryin_Silv...,299
240,201234,天降正义堡垒,298
241,454917,leondeng,297
242,40579,巴洛克的猫,297
243,208502,AnimeTama...,296
244,270910,真庭正宗,295
245,444410,阴影之主吴淼,293
246,29260,真实之澈,291
247,41689,HUSH,291
248,2724,光之虹,287
249,302307,维他命A水分不足,286
250,445760,喝茅台的老熊,284
251,447908,寒生w,283
252,39162,PandaXie,279
253,187068,沥青,278
254,68412,MRX愷,278
255,97640,Joker4793,274
256,480786,Unlimited...,272
257,257187,DisJason,271
258,376004,VG百科,270
259,277529,易烊顿挫,270
260,258191,Hyperspac...,269
261,400574,The Ordin...,267
262,254154,解放全人类的林登猫,264
263,299759,Suens,264
264,133521,用户已注销,259
265,314970,少数派sspai,259
266,281118,Geworfenh...,257
267,246825,白熊彼特,256
268,255979,碳烤洋排,256
269,27530,猫毛卯茂,255
270,32308,Q_asim,254
271,73180,精英十字军,254
272,387502,红磡老板娘,253
273,22875,Fitbos,253
274,15636,火彩_,251
275,29535,叉烧SAMA,250
276,126508,老鼬子,249
277,320661,黑洞洞,249
278,210637,警车Andrea,249
279,461051,Erron,249
280,329645,wkm,247
281,1724,mrainboww...,246
282,300657,发糕同学,246
283,28766,JACKNIGHT,245
284,299088,请叫我Z,245
285,449641,碧蓝航线研发组,243
286,463158,金属光泽游戏评测,242
287,140094,Laluby,242
288,273934,Jodoboy,241
289,194136,梅红TX,237
290,43836,兜帽诺,237
291,22511,LinkAdrif...,237
292,440959,Gnomeek,236
293,191948,七星博士,236
294,450091,heart_of_...,235
295,418864,Jon404,234
296,81916,尿豁齿钢镚的猫,233
297,458444,DREAMFAIR...,231
298,386636,二厂,226
299,103630,登骏爵士,226
300,353508,蒸汽瓦特,226
301,437892,有方,224
302,49659,I_AM_P_UN...,224
303,238149,Breakcrow,223
304,133165,葉舞靈,223
305,66530,零之城堡,222
306,171732,云将鸿蒙,222
307,48733,以西结之轮,221
308,236395,shadowdao,216
309,200474,Firth,214
310,202615,SE_01,213
311,108318,老斧子,211
312,409309,HobbyZ空玩研,210
313,104910,Lc·摘星的旅人,210
314,127200,真新镇小茂,208
315,147840,醒着的冰是水,207
316,290282,瞬间艺术s,206
317,407465,北陵重工,206
318,111287,蘇捌,205
319,24025,低多边形厌氧菌,205
320,134885,温泉河马,205
321,379700,浩海,204
322,392644,骑马射箭小秀酱,204
323,297829,骈清丽泽cc,203
324,415926,幻想口袋Pocke...,203
325,378823,耕雲,202
326,88352,故里_GL,201
327,357640,已沉东京湾,201
328,193621,妄雀,200
329,184667,Mok,199
330,376457,嘴馋又挑食,199
331,166712,轮回Sunday,199
332,123170,哈姆,199
333,295809,黄XX,198
334,181331,南门汤包,198
335,208127,大憨,197
336,70236,隐仆,197
337,284117,漫威未来之战,196
338,471358,匿名漫画虫,196
339,461718,WhamToys玩...,196
340,398624,狗老师Dogche...,196
341,236897,胸甲骑兵,195
342,476669,三月琉璃夜,195
343,283851,终焉下的咏叹调,195
344,51825,独自等待,193
345,417369,DarkEater,192
346,266962,王三白,192
347,341521,有牙??,192
348,172615,浪客鱼,191
349,326514,王洞洞,191
350,457705,咸鱼的A,191
351,257378,大荔枝啊,190
352,264314,pc9527,190
353,269814,天气-预报,189
354,390073,骑士优格,189
355,20751,Fatty书生,188
356,164195,DICE亮君,187
357,92856,豆腐膶,186
358,235289,kcwiki舰娘百...,185
359,289463,没有脖子的平远,185
360,199508,奶油布利兹,185
361,393517,南冥大鹏,185
362,137500,夏萝,184
363,166201,林恩lieN,184
364,386434,鲤鱼_Lydia,182
365,248522,水泊寺无业青年,182
366,298865,十文字klt,181
367,420608,夜之城,180
368,36274,泷泽不萝拉,180
369,83520,Fitch,180
370,134578,故事里的事,180
371,177501,阿瑟维尔斯利,180
372,28044,大力王,178
373,137458,禾木314,178
374,31418,这样重这样轻,178
375,24923,无限,177
376,325973,Lunamos,177
377,322177,山谷深处,176
378,456681,Desein,176
379,428815,逆风听雪,175
380,270479,blurryroa...,175
381,396007,Wayfaring...,175
382,66229,旺仔牛魔王,174
383,388188,LaZyRui,172
384,12977,昊崙,172
385,145168,时间的蘑菇,170
386,244311,Clockwork...,169
387,37381,完颜紫瑞,168
388,356524,Warhawk-K...,168
389,286146,风暴兵饼干,167
390,152670,imk,167
391,174952,Pray yan,167
392,205088,和风冷冽,167
393,171088,老葱头,167
394,481904,Pokins,166
395,137021,Kin33,166
396,132166,再生妖精,164
397,226451,Dr.Knox,164
398,12151,花青虎,164
399,284770,小马利亚的闪闪王子,163
400,437250,烟囱旁的猫,163
401,366944,BambooGC,162
402,211285,一包沙袋rdw,162
403,406434,深鸭社DeepDu...,162
404,399493,天才少女小林,161
405,449848,黑方BlackCu...,161
406,102313,顶生植物,161
407,418422,想吃东西的球球,161
408,23371,The Sorro...,159
409,60423,邱二十二员外,156
410,470533,Lance_29,155
411,132027,博丽神社,155
412,48243,亚瑟,155
413,444111,游鲨游戏圈,155
414,445125,爱克斯博士,155
415,350062,baque,154
416,396861,迪斯科ball,154
417,32686,听故事的伊君,153
418,476074,不紫道,152
419,46224,伦伦伦伦子,152
420,455555,FinoFeng,151
421,29142,基西,150
422,444685,F24通讯员,150
423,354431,贰柒,150
424,256088,道无终始,149
425,238451,三水共治,149
426,27446,running t...,148
427,67860,马涛,148
428,27659,拉斯柯尔尼科夫,147
429,223924,修道士冬寂,147
430,41595,洞爷湖z,146
431,153720,FrankySte...,146
432,83559,BottleFis...,146
433,149461,whatever1,145
434,312678,zqfreedom,145
435,6874,boshiid,145
436,400576,壹然,145
437,377208,DOLOREM,144
438,59134,沙狐,144
439,218645,有人叫白添,144
440,21246,阿灵D,143
441,253683,葡萄叶子,143
442,104165,奇诡故事贩卖机,143
443,157063,张B,143
444,170322,石思,142
445,279620,COlogik,142
446,53533,dlqblue,141
447,216212,Ryder56,141
448,197819,阳光下的猥笑,139
449,332843,金属视线,139
450,41875,森友Gpainte...,138
451,438791,白水鸽鸽,138
452,137276,海斯与小春,138
453,182511,Nuluee,137
454,509986,wshiyemao,137
455,379028,SweeneyH,137
456,358899,海想,137
457,32427,认真读书的大表哥,137
458,421632,Fualone,135
459,421287,Esdec,135
460,470824,Charnel方糖,134
461,56200,TRIAL,134
462,77661,蓝湿父,134
463,475817,51师,133
464,30379,罗老谐,133
465,445137,校长海德里希,132
466,143751,鳄官长,131
467,313424,绯红的青蛙,130
468,359223,新星和石头,130
469,428160,PADI中国,130
470,392680,鸡一昂酱花,130
471,321869,Easyzgoin...,129
472,468676,哥就是猛哥,129
473,91628,天使与长剑,129
474,161530,秩序,129
475,427685,无色无味天运子,128
476,333977,YRDEN,127
477,27694,indienova,127
478,121449,Jean-Char...,127
479,118143,107。,127
480,320494,神奇古達,126
481,84006,LCOOOOD,126
482,71047,友人,126
483,476531,doodlez,125
484,99590,不朽德米特里斯基,125
485,325393,nagatsuki,125
486,38513,李映道,125
487,466625,砂糖豆腐,124
488,456806,blesslop,124
489,219735,小沢光子,124
490,87459,虚子(?ゝω??)...,123
491,23520,冉狗蛋看得见六娃,122
492,203830,蜜蜂_,122
493,69825,VictorWJ,122
494,198649,蛆屍人_Maggo...,121
495,13515,louiky穆飞,121
496,88475,仵空小师傅,120
497,238879,solarku,120
498,145816,charwang,119
499,357295,墨鹿的白日梦,119
500,13473,北风水君,119
501,164703,DRING,118
502,31422,长昵称用来卖萌,118
503,110259,洋葱酱骑士_Yzc,118
504,40218,Bozar,118
505,388575,王禹效,118
506,185973,探王寻火,117
507,102461,brad,117
508,288479,逐星,116
509,427584,用户已注销,116
510,450571,AMXELC,115
511,33606,用户已注销,115
512,367610,树源稻雪,115
513,31477,kituu,115
514,416435,一个喵闲君,115
515,186512,二猫,115
516,16110,相信过程,115
517,32605,护士衫下,114
518,130092,真xithwod,114
519,127220,5MOONS,114
520,299294,時江,114
521,209382,夏祭natsuko,113
522,64282,GrantZN,113
523,105155,克总酷爱发糖,113
524,470654,ToyoMate,112
525,156390,Gilean,112
526,298808,白学之王,112
527,427409,kannpai,112
528,498199,jhl1000,111
529,127921,zdd,111
530,307042,MULAN,111
531,498940,迢迢牛奶路,110
532,3464,萝卜白菜PLUS,110
533,254373,铿老椰,110
534,143085,StoneFran...,110
535,412707,BtoZ,110
536,284337,一木OMO,109
537,232397,DINOBW,108
538,210662,Shw,108
539,398463,礼拜一房租战士,108
540,161061,散装星空,108
541,310018,安格生,107
542,316161,柴觅游研（乐茗棋）,106
543,145131,siwondark,106
544,80169,无尽君,105
545,17560,NewComer(...,105
546,154594,东方JDM字幕组,105
547,142963,推倒之秋,105
548,92374,锅贴（游戏圈老油子...,104
549,469880,chezai,104
550,79099,北京武士,104
551,153035,⑨号球,104
552,417970,勇往直前的二营长关...,104
553,446899,用户已注销,104
554,320949,欧米茄子,104
555,314632,漫庚,103
556,181737,mlwy,102
557,424938,Mikedoe,102
558,290741,荔枝fm搜游生谈,102
559,234530,额耳齐思,101
560,25971,EDAuditor...,101
561,193413,艾小迪,100
562,131504,蝈蝈的夏天,100
563,12924,门柱,100
564,264935,LIttorio1...,100
565,111592,小兽同志,100
566,31228,飞天面条神Yo丧,100
567,401330,薪房烧之MKII,100
568,98659,COE of wa...,99
569,390028,megakusa,99
570,118035,UncleT,98
571,132468,山猫酱,98
572,310441,影子13号,98
573,144895,mowolf,98
574,206853,黑海乱谈,97
575,121164,温泉堡,97
576,278225,黒蜥蜴大人,97
577,78388,velvetpaw,97
578,328212,浮木,97
579,386357,GeorgeLoc...,97
580,483820,狐光Anime,96
581,92228,艾丝蒂尔,96
582,143951,GTL,95
583,425418,路易·王,95
584,21074,邻肉,94
585,276965,兔爷twoyeah,94
586,16678,parker_pa...,94
587,356433,⑨鸡丝,93
588,327089,弟求上头,93
589,141408,typeomicr...,93
590,194679,马铃薯避难所,92
591,251101,川島榛名,92
592,18938,秋水锦瑟,92
593,286178,濡乌也非纯黑,92
594,476691,sorma锁码,91
595,445098,光川,91
596,894,frankwest,90
597,474735,《看电影》杂志,89
598,231710,阿囧同学,89
599,409008,CLOUDDAUG,89
600,463587,大雕游戏,88
601,387667,鱼头火箭番茄酱,88
602,69524,Dr.Shan,88
603,3466,鱼炒饭,88
604,228513,黑鯵,87
605,69968,云嚣,87
606,227115,MrWade,87
607,90184,游知GKnower,87
608,330729,鸩的注视,86
609,156093,梦若愁,86
610,144438,文西,86
611,129458,三少掌柜,85
612,283326,牧久音MakiHi...,85
613,102137,文真则,85
614,12974,忧郁的Edi,85
615,415790,rapiz,85
616,403161,八又二分之一站台,85
617,36336,超逗比级阿斯特纳冈,84
618,44525,中二混沌貴公子,84
619,26358,ForeverDa...,84
620,319946,Cloud Yun,84
621,420562,今天就不要熬夜了,84
622,53603,卢克英雄,84
623,434246,科尔沁流浪者,84
624,80826,吉琶10696,84
625,411098,心無十三,83
626,13127,harmonytr...,82
627,258792,核能大狗,82
628,46987,FairyMad,82
629,457252,店长长长长,82
630,448069,xiezhengg...,82
631,395275,艺人没有照片,81
632,279984,红鸡,81
633,40931,Luinrandr...,81
634,172310,Rolola,81
635,243236,水上观测姬,81
636,312548,Foey,80
637,44244,NaTO9,80
638,230237,异次元的G,80
639,107661,envyy,80
640,218896,XYGO,79
641,363567,桑吉尔夫迷妹,79
642,33148,ljg77077,78
643,463874,徐栖,78
644,109066,羅罡,78
645,227572,skian,78
646,399865,百乐游戏说,78
647,353840,白天8026,77
648,165404,鸡良鸡影,77
649,349284,暮枫,77
650,79142,SonicCars...,77
651,260420,Medallion...,77
652,60611,幼红之月,76
653,143266,玄玖爷,76
654,284397,pegaiur,76
655,176254,ayumu,76
656,275284,木寸哥,76
657,59099,孟枭,75
